Business Name,Business Niche,Address,City Area,Phone Number,WhatsApp Contact,Website,Social Media Links,Google Maps Listing URL,Date Collected
"Ikeja City Mall","Shopping Mall","Obafemi Awolowo Way Alausa Ikeja Lagos","Ikeja","Not Available","Not Available","https://ikejacitymall.com.ng","https://instagram.com/ikeja_city_mall","https://maps.google.com/?cid=ikeja-city-mall","2025-06-23"
"Ebeano Supermarket","Supermarket","14 Isaac John Street Ikeja","Ikeja","+234 701 552 1147;+234 808 094 2477","Not Available","Not Available","Not Available","https://maps.google.com/?cid=ebeano-supermarket-ikeja","2025-06-23"
"CrownCrystal Tech Ltd","IT Company","23 Oshifila Street Anifowoshe Ikeja Lagos","Ikeja","+234 915 910 0000","Not Available","https://cctech.ng","https://linkedin.com/company/crowncrystal-technologies-limited","https://maps.google.com/?cid=crowncrystal-tech-ikeja","2025-06-23"
"FEMISH IT Solutions & Systems Ltd","IT Company","1 Majekodunmi Street Off Allen Avenue Ikeja Lagos","Ikeja","+234 812 811 4584","Not Available","https://www.femish.com.ng","https://facebook.com/femishsolution","https://maps.google.com/?cid=femish-it-ikeja","2025-06-23"
"Digitalwe Limited","IT Company/Digital Agency","76b Adeniyi Jones Avenue Ikeja Lagos","Ikeja","+234 806 438 2453","Not Available","https://digitalwe.biz","https://facebook.com/DigitalWeltd","https://maps.google.com/?cid=digitalwe-ikeja","2025-06-23"
"Grenville Schools","School","18 Ladoke Akintola Street Ikeja GRA Lagos","Ikeja","Not Available","Not Available","Not Available","https://instagram.com/grenville_sch","https://maps.google.com/?cid=grenville-schools-ikeja","2025-06-23"
"St Gloria's Schools","School","28/29 Adekunle Fajuyi Way Ikeja GRA Lagos","Ikeja","+234 806 359 6996;+234 805 719 6225","Not Available","https://stglorias.com.ng","https://facebook.com/StGloriasSchool","https://maps.google.com/?cid=st-glorias-schools-ikeja","2025-06-23"
"Chrisland High School Ikeja","School","Ikeja Lagos","Ikeja","Not Available","Not Available","https://www.chrislandschools.com","Not Available","https://maps.google.com/?cid=chrisland-ikeja","2025-06-23"
"Alpha Pharmacy & Stores (Head Office)","Pharmacy","2B Alabi Street Off Toyin Street Ikeja","Ikeja","+234 700 25742742762","Not Available","https://alphapharmacy.com.ng","https://facebook.com/alphapharmacyltd","https://maps.google.com/?cid=alpha-pharmacy-ikeja","2025-06-23"
"Healthplus Pharmacy","Pharmacy","MM Airport Terminal 2 Adebola Mall GRA Ikeja","Ikeja","+234 909 055 1092","Yes - +234 707 458 8745","https://healthplusnigeria.com","Not Available","https://maps.google.com/?cid=healthplus-pharmacy-ikeja","2025-06-23"
"i-Fitness Gym & Wellness Ikeja GRA","Gym & Fitness","8A NACCAMA Building Oba Akinjobi Way Ikeja","Ikeja","Not Available","Not Available","https://ifitness.ng","Not Available","https://maps.google.com/?cid=ifitness-ikeja-gra","2025-06-23"
"Surefit Gym and Fitness Center","Gym & Fitness","2 Adewumi Estate Kudirat Abiola Way Oregun Ikeja","Ikeja","+234 802 360 9696;+234 702 502 8126","Not Available","https://www.surefitgymandfitnesscenter.com","Not Available","https://maps.google.com/?cid=surefit-gym-ikeja","2025-06-23"
"Maverick Fitness Centre","Gym & Fitness","Plot G Tunde Gafar Close Off Adeniyi Jones Ikeja","Ikeja","Not Available","Not Available","Not Available","Not Available","https://maps.google.com/?cid=maverick-fitness-ikeja","2025-06-23"
"Metropolitan Motors (Toyota Dealer)","Car Dealership","1 Shobo Arobiodu DStv Roundabout GRA Ikeja","Ikeja","+234 815 499 1135","Not Available","https://www.toyotanigeria.com/dealers/metropolitan-motors","Not Available","https://maps.google.com/?cid=metropolitan-motors-ikeja","2025-06-23"
"Wonderwheels Nigeria","Car Dealership/Auto Service","90B Opebi Road Ikeja Lagos","Ikeja","+234 806 602 2639;+234 700 700 0003","Yes - +234 813 995 4445","https://wonderwheelsng.com","Not Available","https://maps.google.com/?cid=wonderwheels-ikeja","2025-06-23"
"Bam & Gad Solicitors","Law Firm","17/19 Allen Avenue Ikeja Lagos","Ikeja","+234 806 278 7594","Not Available","https://bamandgadsolicitors.com.ng","Not Available","https://maps.google.com/?cid=bam-gad-solicitors-ikeja","2025-06-23"
"Awosika Law","Law Firm","5 Chief Oborokumo Close Off Sobo Arobiodu GRA Ikeja","Ikeja","+234 1 290 3248","Not Available","https://awosikalaw.com","Not Available","https://maps.google.com/?cid=awosika-law-ikeja","2025-06-23"
"Emawodia and Attorneys","Law Firm","No 90 Allen Avenue Wuraola House Ikeja Lagos","Ikeja","+234 1 454 3041;+234 812 317 4465","Not Available","https://emawodiaandattorneys.com","Not Available","https://maps.google.com/?cid=emawodia-attorneys-ikeja","2025-06-23"
"O. Kayode & Co","Law Firm","First floor 22 Oba Akran Avenue Ikeja Lagos","Ikeja","+234 707 429 5059;+234 813 192 1244","Not Available","https://www.okayode.com","Not Available","https://maps.google.com/?cid=okayode-law-ikeja","2025-06-23"
"Westpoint Homes and Properties","Real Estate Agency","111 Ogunlowo Street Ikeja Lagos","Ikeja","+234 913 204 5774","Not Available","https://westpointr.com","Not Available","https://maps.google.com/?cid=westpoint-homes-ikeja","2025-06-23"
