lead_type,name,job_title,company_name,industry,linkedin_url,website,address,phone,email,employee_range,location,description,date_collected,source
Company,Geodrill,,Mining,https://www.linkedin.com/company/geodrillgh,,,,"11-50",Airport Residential Area Accra Ghana,"Leading West-African-Based Mineral Driller",2026-04-05,Yahoo Search
Company,Akka Kappa Ltd,,Real Estate,https://gh.linkedin.com/company/akkakappaghana,,,,"11-50",Airport Residential Area Accra,"The Real Estate Experts - Licensed Agency",2026-04-05,Yahoo Search
Company,Kass Towers,,Real Estate,https://gh.linkedin.com/company/kass-towers-airport-residential/,,,,,Airport Residential Area Accra,"Modern development near Kotoka International Airport",2026-04-05,Yahoo Search
Company,Africa10,,Technology,https://www.linkedin.com/company/africa10,"8 Amilcar Cabral Street",,,"11-50",Airport Residential Accra,Technology company in Airport Residential,2026-04-05,Yahoo Search
Company,Airport Women's Hospital,,Healthcare,https://gh.linkedin.com/company/airport-women-s-hospital,,,,,"51-200",Airport Residential Area Accra,"32 bed capacity hospital with Executive Private Suites",2026-04-05,Yahoo Search
Company,Elora Realty Investments,,Real Estate,https://www.linkedin.com/company/elora-realty-investments,,,,,"1-10",Airport Residential Area Accra,Ultra-luxurious living experiences,2026-04-05,Yahoo Search
Company,Invictus Developers Ghana,,Real Estate,https://www.linkedin.com/company/invictusdevelopersgh,,,,,"1-10",Airport Residential Area Accra,Residential and rental property developments,2026-04-05,Yahoo Search
Company,Hyde Homes Ghana,,Real Estate,https://www.linkedin.com/company/hyde-homes-ghana/,,,,,"1-10",Accra Ghana,Boutique real estate firm,2026-04-05,Yahoo Search
Company,Arcoa Ghana Limited,,Healthcare,https://www.linkedin.com/company/arcoaghana,,,,,"11-50",Accra Greater Accra,Medical and laboratory equipment supplier,2026-04-05,Yahoo Search
Company,TranaTek Africa Limited,,Technology,https://www.linkedin.com/company/trana-tek-limited,"14 Senchi Street",,,"1-10",Airport Residential Area Accra,Technology company,2026-04-05,Yahoo Search
Company,Ghana Airports Company Limited,,Aviation,https://gh.linkedin.com/company/ghana-airport-company-limited,,,,,"201-500",Accra Ghana,Aviation authority,2026-04-05,Yahoo Search
Company,Ghana Airport Cargo Centre,,Logistics,https://gh.linkedin.com/company/ghana-airport-cargo-centre,,,,,"11-50",Accra Ghana,Cargo handling services,2026-04-05,Yahoo Search
Company,GBfoods Ghana,,Food & Beverage,https://gh.linkedin.com/company/gb-foods-ghana,,,,,"201-500",Airport City Accra Ghana,Leading FMCG company,2026-04-05,Yahoo Search
Company,The Palms by Eagles,,Hospitality,https://gh.linkedin.com/company/the-palms-by-eagles,,,,,"11-50",Airport City Accra,Luxury Living,2026-04-05,Yahoo Search
Company,Telecel Ghana,,Telecommunications,https://gh.linkedin.com/company/telecel-gh,,,,,"1001-5000",Airport City Accra,Second-ranked mobile operator in Ghana,2026-04-05,Yahoo Search
Company,NIB Ghana,,Banking,https://www.linkedin.com/company/nibghana,"Manet Tower B Plot 25",,,"51-200",Airport City Accra,Banking institution,2026-04-05,Yahoo Search
Company,NewGen Energy Solutions,,Renewable Energy,https://gh.linkedin.com/company/newgenenergyafrica,,,,,"1-10",Airport City Accra,Sustainable energy solutions for Africa,2026-04-05,Yahoo Search
Company,Heppipe Ghana,,Energy,https://www.linkedin.com/company/heppipegh,"Plot 16",,,"1-10",Airport City Accra,Energy infrastructure,2026-04-05,Yahoo Search
Company,Beacon Health,,Healthcare,https://gh.linkedin.com/company/beaconhealthgh,,,,,"1-10",Airport City Accra,Healthcare services,2026-04-05,Yahoo Search
Company,EnableIT Ghana,,Information Technology,,"19 Kofi Annan Street Airport Residential Area","+233 20 300 2444",info@enableitgh.com,"1-10",Airport Residential Area Accra,IT services company,2026-04-05,Yahoo Search
Company,ABPO LTD,,BPO,https://gh.linkedin.com/company/abpo-ltd,,,,,"11-50",Accra Greater Accra,Business process outsourcing,2026-04-05,Yahoo Search
Company,Consolidated Bank Ghana,,Banking,https://www.linkedin.com/company/cbgbankltd/,,,,,"1001-5000",Accra Greater Accra,Major Ghanaian bank,2026-04-05,Yahoo Search
Company,JLP Engineering Solutions,,Engineering,https://www.linkedin.com/company/jlp-engineering-solutions,,,,,"51-200",Accra Ghana,Manpower Supply Training Technical Services,2026-04-05,Yahoo Search
Company,Clifton Homes Ghana,,Real Estate,,34 Senchi Street Airport Residential Area,,,"51-200",Airport Residential Area Accra,Real estate development,2026-04-05,ContactOut
Company,Devtraco Plus Ghana Limited,,Real Estate,https://devtracogroup.com,"No.7 Noi Fetreke Street; No. 8 Sir Arku Korsah Rd",,,"51-200",Airport Residential Area Accra,Real Estate Developer,2026-04-05,Yahoo Search
Company,ZEN Petroleum,,Oil & Gas,https://www.zenpetroleum.com/contact-us,"13 Patrice Lumumba Road Airport Residential Area","+233 302 611 328",info@zenpetroleum.com,"51-200",Airport Residential Area Accra,Petroleum distribution,2026-04-05,Yahoo Search
Company,Orsam Energies,,Energy,https://orsam-energies.com/en/contact-us,"11 Patrice Lumumba Road Block B 2nd Floor",,,"11-50",Airport Residential Area Accra,Energy company,2026-04-05,Yahoo Search
Company,Cenit Energy,,Energy,https://cenitenergy.com,"House No.15 Agostinho Neto Road",,,"11-50",Airport Residential Area Accra,Energy company,2026-04-05,Yahoo Search
Company,Tradeco Ghana Limited,,Trading,https://tradecogh.com/contact-us,"#19 Second Close Volta St",+233302769139,,"1-10",Airport Residential Area Accra,Trading company,2026-04-05,Yahoo Search
Company,Africa Trade Finance Company Ltd,,Financial Services,https://gh.linkedin.com/company/africa-trade-finance-company-ltd-atfcc,,,,,"11-50",Accra Ghana,Trade finance solutions,2026-04-05,Yahoo Search
Company,Universal Merchant Bank,,Banking,https://www.linkedin.com/company/myumbbank/,,,,,"1001-5000",Accra Greater Accra,Indigenous bank since 1972,2026-04-05,Yahoo Search
Company,Aerojet Aviation,,Aviation,https://gh.linkedin.com/company/aerojet-aviation,http://aerojet-aviation.com,,,,"11-50",Accra Ghana,Aviation company,2026-04-05,Yahoo Search
Company,McDan Aviation,,Aviation,https://gh.linkedin.com/company/mcdanaviation,,,,,"51-200",East Legon Accra,Private Jet Charterer and FBO,2026-04-05,Yahoo Search
Company,SBMAN Flight Support,,Aviation,https://in.linkedin.com/company/sbman-flight-support,,,,,"11-50",Accra Ghana,Flight Operations and Air Charter Brokerage,2026-04-05,Yahoo Search
Company,Level10 Communications Technologies,,IT,https://www.linkedin.com/company/level10-communications-technologies,,,,,"11-50",Accra Ghana,Cybersecurity and cloud solutions,2026-04-05,Yahoo Search
Company,Wala Digital Health,,Healthcare Technology,https://www.linkedin.com/company/waladigital,,,,,"11-50",Cambridge MA,SaaS for hospital transfusions,2026-04-05,Yahoo Search
Company,Summerton Group,,Advisory,https://summertongroup.com,,,,,"11-50",Accra Ghana,Real estate advisory aviation healthcare,2026-04-05,Yahoo Search
Company,Frontier Pipeline Services,,Engineering,,,,,,Airport Residential Area Accra,Pipeline services,2026-04-05,D&B
Company,Sandvik Mining and Construction Ghana Ltd,,Mining,,"Code Unit 1 Plot D Senchi Loop Airport Residential Area",,,,"201-500",Airport Residential Area Accra,Mining and construction equipment,2026-04-05,Volza
Company,Inside Matters Ghana Ltd,,Interior Design,,,,,,Airport Residential Area Accra,Interior design and fit-out,2026-04-05,Yahoo Search
Professional,Kakra Duffuor-Nyarko,Staff/Actuarial Analyst,StarLife Assurance,Financial Services,https://gh.linkedin.com/in/kakra-duffuor-nyarko-03a366bb,,,,,"Airport Residential Area, Accra",,2026-04-05,Yahoo Search
Professional,Gunda Bamere,Insurance Professional,Nexia Insurance Brokers Ltd,Insurance,https://gh.linkedin.com/in/gunda-bamere-acii-cpcu-arm-0b7a6061,,,,,Accra,,2026-04-05,Yahoo Search
Professional,Anthony Yeboah,Architect & Managing Director,Green Design Systems,Architecture,https://www.linkedin.com/in/anthony-yeboah-ab828614,,,,,Accra,,2026-04-05,Yahoo Search
Professional,Nader Sbeity,Managing Director,Builders Empire LTD,Construction,https://gh.linkedin.com/in/nader-sbeity-491585156,,,,,Ghana,,2026-04-05,Yahoo Search
Professional,Samuel Kingsley Kumi Aboagye,Grant Management Specialist PMP,AGRA,Development,https://gh.linkedin.com/in/samuel-kingsley-kumi-aboagye-pmp%C2%AE-2333a3190,,,,,Accra,,2026-04-05,Yahoo Search
Professional,Scot Murray,Managing Director,Denya Developers,Real Estate,https://gh.linkedin.com/in/scot-murray-18266223,,,,,Accra,,2026-04-05,Yahoo Search
Professional,Daniel Adu Sarfo,Administrative Managing Director West Africa,,Corporate,https://gh.linkedin.com/in/daniel-adu-sarfo-a1468651,,,,,Accra,,2026-04-05,Yahoo Search
Professional,Naa Ashirifia Agyemang,Managing Director,BNS TIER LIMITED,Corporate,https://gh.linkedin.com/in/naa-ashirifia-agyemang-877a8728,,,,,Accra,,2026-04-05,Yahoo Search
Professional,Kwadwo Owusu-Ansah CA,International Finance Analyst,,Finance,https://www.linkedin.com/in/kwadwo-owusu-ansah-ca-8086035a,,,,,"Airport Residential, Accra",,2026-04-05,Yahoo Search
Professional,Maame Serwaa Tuffour,Energy Commission Professional,Energy Commission,Energy,https://uk.linkedin.com/in/maame-serwaa-tuffour-637398252,,,,,"Airport Residential, Accra",,2026-04-05,Yahoo Search
Professional,Engr. Archibold Amuakwa-Mensah PE,QA/QC Engineer,Clifton Homes Ghana,Construction,https://gh.linkedin.com/in/engr-archibold-amuakwa-mensah,,,,,"Airport Residential, Accra",,2026-04-05,Yahoo Search
Professional,Yakup Karatas,General Manager,Yagmur Ghana Limited,Hospitality,https://gh.linkedin.com/in/mirageresidence,,,,,Accra,,2026-04-05,Yahoo Search
Professional,Hilda Obeng Boateng,Research Professional,National Center for Asphalt Technology,Research,https://www.linkedin.com/in/hilda-boateng,,,,,"Airport Residential Area, Accra",,2026-04-05,Yahoo Search
Professional,Emmanuel Ofori Boateng,Professional,Agricultural Development Bank Plc,Banking,https://gh.linkedin.com/in/emmanuel-ofori-boateng-70150139,,,,,"Airport Residential Area, Accra",,2026-04-05,Yahoo Search
Professional,Ing. Joseph Asare Appiah PE GHIE,Geomatic Engineer,Landmark ABL Limited,Engineering,https://gh.linkedin.com/in/ing-joseph-asare-appiah-pe-ghie,,,,,"Airport Residential Area, Accra",,2026-04-05,Yahoo Search
Professional,Richard Adjani,Professional,Apex Realty Ghana Ltd,Real Estate,https://gh.linkedin.com/in/richard-adjani-508b2312,,,,,Accra,,2026-04-05,Yahoo Search
Professional,Ing. Dr. Joseph Atuahene Omani,Managing Consultant,Services Plus Consult,Consulting,https://gh.linkedin.com/in/ing-dr-joseph-atuahene-omani-74980a78,,,,,"Airport Residential Area, Accra",,2026-04-05,Yahoo Search
Professional,Hephzibah Armah,Professional,Ghana TVET Service,Education,https://gh.linkedin.com/in/hephzibah-armah-493437119,,,,,Accra,,2026-04-05,Yahoo Search
Professional,Ekow Mensah,Professional,HustleAid,Technology,https://gh.linkedin.com/in/ekowmensah,,,,,Accra,,2026-04-05,Yahoo Search
Professional,Gabriel Atter MSc,Digital Marketing Professional,Digital Mojo Tech Solutions,Marketing,https://gh.linkedin.com/in/gabriel-atter-msc-640409aa,,,,,Accra,,2026-04-05,Yahoo Search
Professional,Carl Agbenyega,Professional,Merit Network,Technology,https://www.linkedin.com/in/aycarl,,,,,Ghana,,2026-04-05,Yahoo Search
