Business Name,Business Niche,Address,City Area,Phone Number,WhatsApp Contact,Website,Social Media Links,Google Maps Listing URL,Date Collected
"Potter's Dental Clinic","Dental Clinic","No. 32 Admiralty Way Lekki Phase 1 Lagos","Lekki","08035194880","09067297745","Not Available","https://www.facebook.com/pottersdentalclinic","https://maps.google.com/?q=Potters+Dental+Clinic+Lekki","2025-06-15"
"New Hall International School","School","12 Adegbenle Street Chevy View Estate Off Chevron Drive Lekki Lagos","Lekki","+234 7067847977","Not Available","https://newhallschool.com.ng","Not Available","https://maps.google.com/?q=New+Hall+International+School+Lekki","2025-06-15"
"Chrisland High School Lekki","School","Plot 105A Hakeem Dickson Way Lekki Phase 1 Lekki Lagos","Lekki","+234 8102836774","Not Available","https://www.chrislandschools.com","Not Available","https://maps.google.com/?q=Chrisland+High+School+Lekki","2025-06-15"
"Children's International School Lagos","School","Plot 8 Amore Street Lekki Phase 1 Lagos","Lekki","+234 9062977064","Not Available","https://www.cislagos.com","Not Available","https://maps.google.com/?q=Childrens+International+School+Lekki","2025-06-15"
"Meadow Hall Education","School","Meadow Hall Way Alma Beach Estate Lekki-Epe Express Way Lekki Lagos","Lekki","+234 8073000556","Not Available","https://meadowhalleducation.org","Not Available","https://maps.google.com/?q=Meadow+Hall+School+Lekki","2025-06-15"
"Corona Schools (Lekki)","School","Block 35 Corona Drive Abijo GRA Scheme 2 Ibeju Lekki","Lekki","+234 7072713342","Not Available","https://coronaschools.org","Not Available","https://maps.google.com/?q=Corona+Schools+Lekki","2025-06-15"
"Alpha Pharmacy (Lekki Phase 1)","Pharmacy","Lekki Phase 1 Lagos","Lekki","+234 12951803","Not Available","https://alphapharmacy.com.ng","Not Available","https://maps.google.com/?q=Alpha+Pharmacy+Lekki+Phase+1","2025-06-15"
"MedPlus Pharmacy (Novare Lekki Mall)","Pharmacy","Novare Lekki Mall Lekki Lagos","Lekki","+234 8188687911","Not Available","https://novare-lekki.com","Not Available","https://maps.google.com/?q=MedPlus+Pharmacy+Novare+Lekki","2025-06-15"
"Mopheth Pharmacy (Lekki 1)","Pharmacy","32A Admiralty Way Lekki Phase 1 Lagos","Lekki","+234 8088526198","Not Available","https://mophethonline.com","Not Available","https://maps.google.com/?q=Mopheth+Pharmacy+Lekki","2025-06-15"
"HealthPlus Pharmacy","Pharmacy","Lagos","Lekki","+234 7074588745","Not Available","https://healthplusnigeria.com","Not Available","https://maps.google.com/?q=HealthPlus+Pharmacy+Lagos","2025-06-15"
"HealthPlug People's Pharmacy","Pharmacy","1 Remilade Opadokun Street Off Alawe Road Ilasan Lekki","Lekki","Not Available","Not Available","https://healthplugpharmacy.com","Not Available","https://maps.google.com/?q=HealthPlug+Pharmacy+Lekki","2025-06-15"
"Wittyliz Events Limited","Event Planning","1 Ayo Opadokun Street Abraham Adesanya Estate Lekki Epe Expressway Lagos","Lekki","+234 8071329774","Not Available","https://wittylizevents.com","Not Available","https://maps.google.com/?q=Wittyliz+Events+Lekki","2025-06-15"
"Gadiel Event Planners","Event Planning","Lekki Lagos","Lekki","Not Available","Not Available","https://www.gadieleventplanners.com.ng","Not Available","https://maps.google.com/?q=Gadiel+Event+Planners+Lekki","2025-06-15"
"Oxgital (Digital Marketing & Advertising)","Marketing & Advertising Agency","5 Lekki-Epe Expy Lekki Phase 1 Lagos 106104","Lekki","+234 7083845690","Not Available","https://oxgital.com","Not Available","https://maps.google.com/?q=Oxgital+Lekki","2025-06-15"
"Team 316 Media (Digital Advertising)","Marketing & Advertising Agency","14 Folashade Julius Idowu Street Thomas Lekki Epe Expressway Lagos","Lekki","+234 8080248027","Not Available","https://team316media.com","Not Available","https://maps.google.com/?q=Team+316+Media+Lekki","2025-06-15"
"Digital Square (Media Buying)","Marketing & Advertising Agency","37 Ladi Alakija Street Lekki Phase 1 Lagos","Lekki","Not Available","Not Available","https://digitalsquare.com.ng","Not Available","https://maps.google.com/?q=Digital+Square+Lekki+Phase+1","2025-06-15"
"CompraMart (Discount Supermarket)","Supermarket / Grocery","25 Mobil Road Ilaje opposite VIO office Lekki-Ajah Lagos","Lekki","+234 8026615324","Not Available","https://www.comprasupermart.com","Not Available","https://maps.google.com/?q=CompraMart+Lekki","2025-06-15"
"Cmart Supermarket","Supermarket / Grocery","Lekki Lagos","Lekki","Not Available","Not Available","Not Available","https://www.instagram.com/cmart_supermarket","https://maps.google.com/?q=Cmart+Supermarket+Lekki","2025-06-15"
"Shoprite (Lekki Mall)","Supermarket / Grocery","The Palms Shopping Mall 1 Bisway Street Oniru Victoria Island Lagos","Lekki","+234 13301700","Not Available","https://shoprite.ng","Not Available","https://maps.google.com/?q=Shoprite+Lekki+Mall","2025-06-15"
"Cybertech Digitals","IT / Software Company","16b Oluwole Street Lekki Lagos","Lekki","+234 8107539186","Not Available","https://cybertechdigitals.com","Not Available","https://maps.google.com/?q=Cybertech+Digitals+Lekki","2025-06-15"
"TDigital","IT / Software Company","Lagos Nigeria","Lekki","+234 9036723177","Not Available","https://tdigital.ng","Not Available","https://maps.google.com/?q=TDigital+Lagos","2025-06-15"
"Black & White Saloon Lagos","Salon","Circle Mall Lekki Lagos","Lekki","+234 8108203043","Not Available","Not Available","Not Available","https://maps.google.com/?q=Black+White+Saloon+Circle+Mall+Lekki","2025-06-15"
