business_name,category,niche,address,city,phone,phone_2,website,email,whatsapp,social_media,contact_person,date_collected,source,source_url
Tip Top Chinese Restaurant,Food & Dining,Chinese Restaurant,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Escobar,Food & Dining,Restaurant/Bar,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Le Magellan,Food & Dining,Mediterranean Restaurant,Ring Road East Nyaniba Estate,Osu,+233 30 277 7629,+233 24 458 5858,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Rockefellas Sushi and Grill,Food & Dining,Sushi/Grill,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Pearl Chinese Restaurant,Food & Dining,Chinese Restaurant,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
El Cabrón,Food & Dining,Mexican Restaurant,Harry Sawyer Road,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Albela,Food & Dining,Chinese/Indian Restaurant,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Chix n Ribs,Food & Dining,Restaurant,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Asanka Local,Food & Dining,African Restaurant,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Cedars Restaurant,Food & Dining,Restaurant,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Chez Clarisse,Food & Dining,Restaurant,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Smoothys' Nourishlab,Food & Dining,Restaurant/Health,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Salvatore,Food & Dining,Italian/Fish Restaurant,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Mazera,Food & Dining,Restaurant,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Lytanan Chez Christine,Food & Dining,Regional African Restaurant,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Zeallers,Food & Dining,Restaurant,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
The Xquisite Empire,Food & Dining,Restaurant/Bar,6th Street Nii Saban Atsen Road,Osu,+233 500 248 284,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Little Havana,Food & Dining,Restaurant/Latin,Oshie Road,Osu,+233 245 265 997,,http://www.littlehavanaghana.com/,hola@littlehavanaghana.com,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Tatale Vegan Restaurant,Food & Dining,Vegan Restaurant,Naa Amponsua Street,Osu,+233 55 386 9739,,https://tatalevegan.com/,info@tatalevegan.com,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Bea's Vegan Kitchen,Food & Dining,Vegan Restaurant,690/2 Ogbamey Street,Osu,+233 55 954 9395,,https://beas-vegan-kitchen.business.site,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Burger and Relish,Food & Dining,Burger Restaurant,Osu,Osu,+233 540 121 356,,www.burgerandrelish.com/,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
18th Lane Indian Restaurant,Food & Dining,Indian Restaurant,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Papaye Fast Foods Ltd.,Food & Dining,Fast Food,32 Oxford Street,Osu,+233 30 277 3754,,https://www.papayegroup.com/,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Han's Classic Salad,Food & Dining,Fast Food/Salad,Osu,Osu,+233 243 561 735,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Jah Knows Waakye,Food & Dining,Fast Food/Local,Osu,Osu,+233 244 627 216,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Katawodieso Food Court,Food & Dining,Food Court,Osu,Osu,+233 244 365 868,+233 244 368 200,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Katakumbe Special Kenkey,Food & Dining,Fast Food/Local,Osu,Osu,+233 277 842 582,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Tasty Jerk,Food & Dining,Fast Food/Jerk Chicken,Osu,Osu,+233 201 324 729,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Dog Choo,Food & Dining,Fast Food,Osu,Osu,+233 266 001 883,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
The Buka Restaurant,Food & Dining,African Restaurant,10th Lane,Osu,+233 24 484 2464,,,,,,,2026-04-05,Bing Maps,https://www.bing.com/maps
Heritage Indian Restaurant,Food & Dining,Indian Restaurant,Karl Quist Street,Osu,,,,,,,,2026-04-05,Bing Maps,https://www.bing.com/maps
Bistro 22,Food & Dining,Restaurant,"22 Sithole Street, Labone",Osu,,,,,,,,2026-04-05,Bing Maps,https://www.bing.com/maps
Sunshine Salad Bar & Restaurant,Food & Dining,Salad/Restaurant,"3rd Street, 11 Lane",Osu,,,,,,,,2026-04-05,Bing Maps,https://www.bing.com/maps
La Piazza,Food & Dining,Italian Restaurant,"Embassy Road, 11th Lane",Osu,,,,,,,,2026-04-05,Bing Maps,https://www.bing.com/maps
Tandoor Indian Restaurant,Food & Dining,Indian Restaurant,Soula Loop,Osu,,,,,,,,2026-04-05,Bing Maps,https://www.bing.com/maps
Bella Afrik Italian Restaurant & Pizzeria,Food & Dining,Italian/Pizza,Presidential Road,Osu,+233 20 893 1481,,,,,,,2026-04-05,Bing Maps,https://www.bing.com/maps
POMONA,Food & Dining,Italian Restaurant,13th Lane,Osu,,,,,,,,2026-04-05,Bing Maps,https://www.bing.com/maps
Chilli Ji Indian & Chinese Restaurant,Food & Dining,Indian/Chinese,"Forico Mall, Mission Street",Osu,+233 50 584 2086,,,,,,,2026-04-05,Bing Maps,https://www.bing.com/maps
Noble House Restaurant,Food & Dining,Chinese Restaurant,"1st Kuku Crescent, Kuku Hill",Osu,+233 24 343 9035,,,,,,,2026-04-05,Bing Maps,https://www.bing.com/maps
Le Pavillon Restaurant,Food & Dining,Italian Restaurant,"Labone, Juba Villa",Osu,+233 59 899 9919,,,,,,,2026-04-05,Bing Maps,https://www.bing.com/maps
Brasa Restaurant,Food & Dining,Seafood Restaurant,874 Ndabaningi Sithole Road,Osu,,,,,,,,2026-04-05,Bing Maps,https://www.bing.com/maps
Afrikiko,Food & Dining,Restaurant,Kanda,Osu,+233 54 255 4286,,,,,,,2026-04-05,Bing Maps,https://www.bing.com/maps
Villa Angelia Hotel,Hospitality,Hotel,690/2A Ogbamey Street,Osu,+233 505 210 351,,https://villaangeliahotels.com/accra/index.php?pg=1,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Central Hotel,Hospitality,Hotel,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
El Elyon Hotel,Hospitality,Hotel,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Niagara Plus Hotel,Hospitality,Hotel,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Nova Hotel,Hospitality,Hotel,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Okera Inn,Hospitality,Hotel,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Green Oak Hotel,Hospitality,Hotel,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Awet Hotel,Hospitality,Hotel,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Casino Gold Hotel,Hospitality,Hotel,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Blue Royal Hotel,Hospitality,Hotel,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Frankie's Hotel,Hospitality,Hotel,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Tropical Enclave Guest House,Hospitality,Guest House,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Access Inn,Hospitality,Guest House,178/14 Otsew Street,Osu,+233 267 511 376,,,sabrown103@yahoo.com,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Chez toi Residence,Hospitality,Hotel/Residence,Osu,Osu,+233 20 269 4751,,https://www.cheztoiresidence.com/,Cheztoiresidence@gmail.com,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Sonny's Inn,Hospitality,Hotel,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
The Palm Hotel,Hospitality,Hotel,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
San Marino Hôtel,Hospitality,Hotel,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
The Republic Bar & Grill,Nightlife,Bar & Grill,Asafoatse Tempong Street,Osu,+233 24 631 4044,,http://republicbargh.com/,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Bloom Bar,Nightlife,Bar/Lounge,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
EmBar,Nightlife,Bar,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Kona Bar and Grill,Nightlife,Bar & Grill,Oxford Street,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Hot Gossip Nightclub,Nightlife,Nightclub,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Tantra Nightclub,Nightlife,Nightclub,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Vanity Club,Nightlife,Nightclub,Odwira Road,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Osu Beach Club,Nightlife,Beach Bar,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Tea Baa,Nightlife,Bar,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
The Alley Bar,Nightlife,Bar,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Plot 7,Nightlife,Bar,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Shoprite,Retail,Supermarket,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Lara Mart,Retail,Supermarket,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Saagar Supermarket,Retail,Supermarket,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
City Dia,Retail,Supermarket,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Press On Clothing,Retail,Clothing Store,Klannaa Street,Osu,+233 244 376 555,,,naaaklerh@yahoo.com,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Fashion PAGE,Retail,Clothing Store,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Woodin,Retail,Clothing/African Fashion,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Viktor Seul Unisex Fashion,Retail,Tailor/Fashion,Troas Crescent,Osu,+233 244 889 429,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Electro Mart,Retail,Electronics Store,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Deavey Electronics Limited,Retail,Electronics,Hse#F748/2 17th Lane Close,Osu,+233 242 819 885,,,deaveygh@gmail.com,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
RLG,Retail,Electronics,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Binatone,Retail,Electronics,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Hifarm Technologies,Retail,Electronics,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Furnart,Retail,Furniture Store,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
The Urban,Retail,Furniture Store,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Square One Ghana,Retail,Bathroom Furniture,92 Boundary Road,Osu,+233 302 781 077,,http://squareonegh.com/,info@squareonegh.com,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Natural Skin-Care & Body Therapy,Beauty & Wellness,Cosmetics/Skincare,Home School Street,Osu,+233 302 909 088,,http://naturalskin-care.org,info@naturalskin.org,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
The Xquisite Empire Salon,Beauty & Wellness,Beauty Salon,Nii Saban Atsen Road,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Top-Up Pharmacy,Healthcare,Pharmacy,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Lloyd's Pharmacy,Healthcare,Pharmacy,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Jak Pharmacy,Healthcare,Pharmacy,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Unicom Pharmacy,Healthcare,Pharmacy,Osu,Osu,+233 552 570 801,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Ramona Clinic,Healthcare,Medical Clinic,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Lifebridge Physio Clinic,Healthcare,Physiotherapy Clinic,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Healthnet Clinic,Healthcare,Medical Clinic,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Acheampong Specialist Clinic,Healthcare,Medical Clinic,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Jacob Nelson Dental,Healthcare,Dental Clinic,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Telecel (Oxford Street),Telecommunications,Telecom Services,Oxford Street,Osu,+233 50 555 5111,,https://telecel.com.gh,info@telecel.com.gh,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
AT Ghana,Telecommunications,Telecom Services,Osu,Osu,+233 26 000 0100,,https://www.at.com.gh/,info@at.com.gh,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
New Media Hub (Pen Plus Bytes),IT & Technology,Media/Tech Hub,1 Otswe Street,Osu,+233 30 292 2621,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Phoenix Corp. LLC,IT & Technology,Computer Services,F748/2 17th Lane Close,Osu,+233 244 709 199,,,smac.phoenix@consultant.com,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
G4S Security,Security,Security Company,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Midas Insurance Brokers,Financial Services,Insurance,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Jekora Ventures,Business Services,Company,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
QNet,Business Services,Company,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Legacy Capital,Financial Services,Investment Company,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Apex Advertising,Marketing,Advertising Agency,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Impact Hub Accra,Business Services,Coworking/Incubator,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Walulel,Business Services,Company,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Toptech,Business Services,Company,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Air Burkina Sales Office,Travel,Airline Sales Office,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Embassy of Ivory Coast,Government/Diplomatic,Embassy,Osu,Osu,+233 302 77 46 11,,https://www.ghana.diplomatie.gouv.ci/,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Christian Council of Ghana,Government/NGO,NGO,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
GRA Taxpayer Service Centre,Government,Tax Office,Ring Road East,Osu,,,https://gra.gov.gh/,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Ministry of Inner Cities & Zongo Dev.,Government,Government Ministry,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Castle Post Office (Ghana Post),Government,Post Office,"Castle Drive, Christiansborg",Osu,+233 54 252 7004,+233 30 266 8138,https://ghanapost.com.gh,info@ghanapost.com.gh,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Osu Post Office,Government,Post Office,"La Road, Nyaniba Estates",Osu,+233 54 252 7004,+233 30 266 8138,https://ghanapost.com.gh,info@ghanapost.com.gh,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
St. Charbel International School,Education,International School,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Cherished Kids Creche & Nursery,Education,Nursery School,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Osagyefo School,Education,School,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
St. Peters Basic School,Education,Basic School,Osu,Osu,,,,2026-04-05,,,,,OpenStreetMap/Overpass API,https://overpass-api.de
Manhean Basic Schools,Education,Basic School,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Shell (Oxford Street),Auto & Fuel,Fuel Station,Oxford Street,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Total (Osu),Auto & Fuel,Fuel Station,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Goil (Osu),Auto & Fuel,Fuel Station,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Nifa Motors,Auto & Fuel,Car Repair,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Osu Car Alarm,Auto & Fuel,Auto Parts/Security,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Glory Oil,Auto & Fuel,Fuel Station,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Kukun Cafe,Food & Dining,Cafe,14 Koi Street,Osu,,,www.kukun.info,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Breakfast to Breakfast,Food & Dining,Cafe,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Second Cup,Food & Dining,Coffee Shop,Osu,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Jamestown Coffee Company,Food & Dining,Coffee,Osu,Osu,+233 59 381 1606,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Dawadawa Labs,Food & Dining,Coffee,Osu,Osu,+233 558 729 779,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
Lily Thai Massage,Beauty & Wellness,Spa/Massage,Papa Monrovia Street,Osu,,,,,,,,2026-04-05,OpenStreetMap/Overpass API,https://overpass-api.de
