business_name,skill_industry,email,phone,website,location,source_url,date_collected
Bread & Butter Cafe,Cafe & Restaurant,info@breadandbuttergh.com,+233 24 000 5566,https://breadandbuttergh.com,East Legon Accra Ghana,https://breadandbuttergh.com,2026-04-04
Cafe Kwae,Cafe,info@cafekwae.com,+233 30 277 5555,https://cafekwae.com,East Legon Accra Ghana,https://cafekwae.com,2026-04-04
White Tooth Dental Clinic,Dentist,info@whiteclinic.com,+233 30 251 8577,https://www.whitetoothclinic.com,East Legon Accra Ghana,https://www.whitetoothclinic.com/contact/,2026-04-04
Right Dental Care,Dentist,info@rightdentalcare.com,+233 50 005 0444,https://rightdentalcare.com,East Legon Accra Ghana,https://rightdentalcare.com/enquiries/,2026-04-04
Dental Signature,Dentist,info@dentalsignaturegh.com,+233 554 563 563,https://www.dentalsignaturegh.com,East Legon Accra Ghana,https://www.dentalsignaturegh.com/contact-us,2026-04-04
GRDC Plumbing,Plumbing,,+233 59 197 473,,East Legon Accra Ghana,,2026-04-04
aboya8 Creative Studio,Photography,info@aboya8.com,,https://aboya8.com,East Legon Accra Ghana,https://aboya8.com/contact/,2026-04-04
Vome Studio,Photography,,+233 55 731 0577,,East Legon Accra Ghana,,2026-04-04
EchoHouse,Marketing Agency,,+233 50 000 2461,https://www.theechohouse.com,East Legon Accra Ghana,https://www.theechohouse.com/,2026-04-04
Aquity Media,Marketing Agency,founders@aquitymedia.com,+233 24 585 9173,https://www.aquitymedia.com,East Legon Accra Ghana,https://www.aquitymedia.com/,2026-04-04
Kobi's Events Center,Event Planning,info@kobisevents.com,+233 24 634 1849,https://www.kobisevents.com,East Legon Accra Ghana,https://www.kobisevents.com/contact,2026-04-04
Combos & Casa,Event Planning,info@comboscasa.com,,https://comboscasa.com,East Legon Accra Ghana,https://comboscasa.com/,2026-04-04
East Legon Event Centre,Event Planning,,+233 20 022 0202,,East Legon Accra Ghana,,2026-04-04
Aura Designs,Interior Design,aurads.accra@gmail.com,+233 59 770 2468,https://www.auragh.studio,East Legon Accra Ghana,https://www.auragh.studio/contact-us,2026-04-04
Black Park Interiors,Interior Design,,+233 27 743 0384,https://blackparkghana.com,East Legon Accra Ghana,https://blackparkghana.com/pages/contact,2026-04-04
Euro Homes Group,Interior Design,info@eurohomesgroup.com,+233 50 912 8484,https://eurohomesgroup.com,East Legon Accra Ghana,https://eurohomesgroup.com/interior-design-in-accra-ghana/,2026-04-04
Keystone Architects,Interior Design,info@keystonearchitectsgh.com,+233 30 393 7350,https://keystonegh.com,East Legon Accra Ghana,http://keystonegh.com/contact.html,2026-04-04
Ampor Fro Interiors,Interior Design,info@amporfrointeriors.com,,https://amporfrointeriors.com,East Legon Accra Ghana,https://amporfrointeriors.com/contacts/,2026-04-04
Lozza Decor,Interior Design,arch.yaman.basha@gmail.com,+233 55 537 7730,https://lozzadecor.com,East Legon Accra Ghana,https://lozzadecor.com/,2026-04-04
Home Tutors Ghana,Education,info@hometutorsgh.com,,https://hometutorsgh.com,East Legon Accra Ghana,https://hometutorsgh.com/,2026-04-04
