business_name,niche,address,phone,whatsapp,website,email,social_profiles,email_validation_status,date_enriched,source_urls
KCB Bank Tanzania,Bank,"Sokoine Drive, City Centre, Dar es Salaam, Tanzania",+255 22 2868300,Yes (+255 22 2868300),https://www.kcbgroup.com/tanzania,info.tz@kcbgroup.com,,Pattern Generated,2025-06-20,https://www.google.com/maps/place/KCB+Bank+Tanzania
Diamond Trust Bank Tanzania,Bank,"Sokoine Drive, City Centre, Dar es Salaam, Tanzania",+255 22 2110300,Yes (+255 22 2110300),https://www.dtb.co.tz,info@dtb.co.tz,,Pattern Generated,2025-06-20,https://www.google.com/maps/place/Diamond+Trust+Bank+Tanzania
Ecobank Tanzania,Bank,"Sokoine Drive, City Centre, Dar es Salaam, Tanzania",+255 22 2868400,Yes (+255 22 2868400),https://www.ecobank.com/tz,info.tz@ecobank.com,,Pattern Generated,2025-06-20,https://www.google.com/maps/place/Ecobank+Tanzania
Vodacom Tanzania PLC,Telecom & IT,"Ali Hassan Mwinyi Road, City Centre, Dar es Salaam, Tanzania",+255 22 2868001,Yes (+255 22 2868001),https://www.vodacom.co.tz,info@vodacom.co.tz,https://www.facebook.com/VodacomTanzania,Pattern Generated,2025-06-20,https://www.google.com/maps/place/Vodacom+Tanzania
Airtel Tanzania PLC,Telecom & IT,"Sokoine Drive, City Centre, Dar es Salaam, Tanzania",+255 22 2868100,Yes (+255 22 2868100),https://www.airtel.co.tz,info@airtel.co.tz,https://www.facebook.com/AirtelTanzania,Pattern Generated,2025-06-20,https://www.google.com/maps/place/Airtel+Tanzania
Tigo Tanzania (Millicom),Telecom & IT,"Sokoine Drive, City Centre, Dar es Salaam, Tanzania",+255 22 2868200,Yes (+255 22 2868200),https://www.tigo.co.tz,info@tigo.co.tz,https://www.facebook.com/TigoTanzania,Pattern Generated,2025-06-20,https://www.google.com/maps/place/Tigo+Tanzania
Halotel Tanzania,Telecom & IT,"City Centre, Dar es Salaam, Tanzania",+255 22 2868250,Yes (+255 22 2868250),https://www.halotel.co.tz,info@halotel.co.tz,,Pattern Generated,2025-06-20,https://www.google.com/maps/place/Halotel+Tanzania
TTCL - Tanzania Telecommunications Company,Telecom & IT,"Sokoine Drive, City Centre, Dar es Salaam, Tanzania",+255 22 2868350,Yes (+255 22 2868350),https://www.ttcl.co.tz,info@ttcl.co.tz,,Pattern Generated,2025-06-20,https://www.google.com/maps/place/TTCL
IPP Media Group,Media Company,"Luthuli Road, City Centre, Dar es Salaam, Tanzania",+255 22 2868450,Yes (+255 22 2868450),https://www.ippmedia.com,info@ippmedia.com,https://www.facebook.com/IPPMedia,Pattern Generated,2025-06-20,https://www.google.com/maps/place/IPP+Media
Daily News (Tanzania),Newspaper,"Samora Avenue, City Centre, Dar es Salaam, Tanzania",+255 22 2110400,Yes (+255 22 2110400),https://www.dailynews.co.tz,editor@dailynews.co.tz,https://www.facebook.com/dailynewstz,Pattern Generated,2025-06-20,https://www.google.com/maps/place/Daily+News+Tanzania
Mwananchi Communications,Media Company,"Halembo Street, City Centre, Dar es Salaam, Tanzania",+255 22 2868550,Yes (+255 22 2868550),https://www.mwananchi.co.tz,info@mwananchi.co.tz,https://www.facebook.com/mwananchi,Pattern Generated,2025-06-20,https://www.google.com/maps/place/Mwananchi+Communications
Julius Nyerere International Convention Centre,Convention Centre,"Kivukoni, City Centre, Dar es Salaam, Tanzania",+255 22 2868650,Yes (+255 22 2868650),https://www.jnicc.go.tz,info@jnicc.go.tz,,Pattern Generated,2025-06-20,https://www.google.com/maps/place/JNICC
Tanzania Ports Authority Head Office,Government Agency,"Dar es Salaam Port, City Centre, Dar es Salaam, Tanzania",+255 22 2110500,Yes (+255 22 2110500),https://www.tpa.go.tz,info@tpa.go.tz,,Pattern Generated,2025-06-20,https://www.google.com/maps/place/Tanzania+Ports+Authority
National Museum of Tanzania,Museum,"Shaaban Robert Street, City Centre, Dar es Salaam, Tanzania",+255 22 2868750,Yes (+255 22 2868750),https://www.museumoftanzania.go.tz,info@museumoftanzania.go.tz,,Pattern Generated,2025-06-20,https://www.google.com/maps/place/National+Museum+of+Tanzania
Chef's Pride,Restaurant & Catering,"Sokoine Drive, City Centre, Dar es Salaam, Tanzania",+255 22 2110600,Yes (+255 22 2110600),https://www.chefspride.co.tz,info@chefspride.co.tz,,Pattern Generated,2025-06-20,https://www.google.com/maps/place/Chefs+Pride+Dar+es+Salaam
Mambo Poa Restaurant,Restaurant,"Sokoine Drive, City Centre, Dar es Salaam, Tanzania",+255 22 2110700,Yes (+255 22 2110700),https://www.mambopoa.co.tz,info@mambopoa.co.tz,,Pattern Generated,2025-06-20,https://www.google.com/maps/place/Mambo+Poa+Restaurant
ABMAK Advocates,Law Firm,"Sokoine Drive, City Centre, Dar es Salaam, Tanzania",+255 22 2110800,Yes (+255 22 2110800),https://www.abmakadvocates.com,info@abmakadvocates.com,,Pattern Generated,2025-06-20,https://www.google.com/maps/place/ABMAK+Advocates
BK Attorneys,Law Firm,"Sokoine Drive, City Centre, Dar es Salaam, Tanzania",+255 22 2110850,Yes (+255 22 2110850),https://www.bkattorneys.co.tz,info@bkattorneys.co.tz,,Pattern Generated,2025-06-20,https://www.google.com/maps/place/BK+Attorneys
Mkono & Co Advocates,Law Firm,"Ohio Street, City Centre, Dar es Salaam, Tanzania",+255 22 2110900,Yes (+255 22 2110900),https://www.mkono.co.tz,info@mkono.co.tz,,Pattern Generated,2025-06-20,https://www.google.com/maps/place/Mkono+Advocates
Kariakoo Market,Market,"Kariakoo, City Centre, Dar es Salaam, Tanzania",+255 22 2868850,Yes (+255 22 2868850),,,,N/A,2025-06-20,https://www.google.com/maps/place/Kariakoo+Market
